Gene,Cox_coefficient,Raw_p-value,BH-adjusted_p-value,Median_Expression,Mean_Expression
RBBP6,-0.1348,0.14,0.800271555,1062.69445,1068.693134
RHBDL2,0.1429,0.14,0.800271555,39.0782,44.17458987
RHBG,-0.1426,0.14,0.800271555,1.824,58.81890882
RNF112,0.1373,0.14,0.800271555,445.2055,501.1805056
RNF114,-0.1317,0.14,0.800271555,2086.9879,2185.215535
ROBO1,0.1133,0.14,0.800271555,1849.5954,2085.970641
ROM1,0.1453,0.14,0.800271555,702.2425,741.0433895
RPL10A,-0.132,0.14,0.800271555,5322.4536,6232.10597
RPS3A,-0.129,0.14,0.800271555,4185.8974,5510.157002
RPUSD2,-0.1343,0.14,0.800271555,238.6593,242.8713873
S100A4,0.132,0.14,0.800271555,449.7992,722.9106225
SACM1L,-0.1418,0.14,0.800271555,1043.0403,1048.35404
SCARNA2,-0.1422,0.14,0.800271555,7.4201,41.79383235
SDC1,0.1428,0.14,0.800271555,321.519,551.0600846
SDSL,0.1469,0.14,0.800271555,396.2617,418.5996958
SERTAD4,0.1316,0.14,0.800271555,10.1394,28.87619379
SET,-0.1334,0.14,0.800271555,5238.5882,5355.030534
SFXN1,-0.1371,0.14,0.800271555,1213.3553,1231.443338
SIAE,0.1398,0.14,0.800271555,848.2261,929.864919
SIX5,-0.1451,0.14,0.800271555,234.3324,286.7496993
SKAP1,0.1488,0.14,0.800271555,4.3207,7.529125817
SLC27A2,0.1449,0.14,0.800271555,1.9543,5.44739183
SLC30A7,-0.1427,0.14,0.800271555,597.5163,632.2357209
SLC36A4,0.1327,0.14,0.800271555,276.9789,305.3611193
SLFN11,0.1442,0.14,0.800271555,347.4314,562.2569141
SMAD4,-0.1392,0.14,0.800271555,1643.1315,1710.732619
SND1,0.1341,0.14,0.800271555,3239.1304,3496.111738
SNHG10,-0.1275,0.14,0.800271555,111.19,128.5102359
SNRNP48,-0.1278,0.14,0.800271555,249.3667,257.6310288
SNX12,-0.1378,0.14,0.800271555,249.1953,247.9658252
SQSTM1,0.137,0.14,0.800271555,7976.8859,9003.661669
SSH1,0.1398,0.14,0.800271555,903.9378,930.4357748
ST7-AS1,-0.1279,0.14,0.800271555,116.6124,130.7114382
STOML2,-0.1288,0.14,0.800271555,1664.5743,1885.842017
STX4,0.138,0.14,0.800271555,700.8467,701.958331
SYT14,0.1392,0.14,0.800271555,21.4566,28.1545781
TAS1R1,0.1303,0.14,0.800271555,19.6426,23.40617549
TBC1D1,0.1414,0.14,0.800271555,1235.3501,1337.322793
TBC1D9B,0.1443,0.14,0.800271555,3412.0334,3411.309631
TBX3,-0.1467,0.14,0.800271555,79.8627,136.0363673
TCTE3,-0.1327,0.14,0.800271555,64.0796,77.68078105
TFAP2C,0.1397,0.14,0.800271555,4.1263,21.13291895
TGFBR3,0.1357,0.14,0.800271555,222.4719,314.1092409
TLR2,0.138,0.14,0.800271555,502.2356,589.3693163
TM4SF18,-0.1407,0.14,0.800271555,162.7907,181.6444196
TM6SF2,-0.133,0.14,0.800271555,33.7243,39.50920621
TMEM106A,0.1355,0.14,0.800271555,109.6939,123.6599317
TMEM26,0.1477,0.14,0.800271555,37.5,53.14031503
TMLHE,-0.1283,0.14,0.800271555,189.4055,198.6221059
TNFSF9,0.1431,0.14,0.800271555,14.3939,22.99672974
TOR1AIP2,-0.142,0.14,0.800271555,367.421,366.8667742
TRANK1,0.1348,0.14,0.800271555,369.5254,395.4573405
TRIM35,-0.1322,0.14,0.800271555,495.5056,504.0818575
TRMT12,-0.142261,0.14,0.800271555,275.5102,292.3581474
TSLP,0.1475,0.14,0.800271555,12.4381,26.21491667
TUBA4A,0.1525,0.14,0.800271555,451.2067,630.4160745
UBE3B,0.1364,0.14,0.800271555,940.9091,933.1055797
UBP1,-0.1351,0.14,0.800271555,1200.145,1187.492967
WDR70,-0.1258,0.14,0.800271555,498.4149,519.45145
ZC3H12A,0.1438,0.14,0.800271555,90.6561,125.0386824
ZNF283,-0.1312,0.14,0.800271555,45.4545,46.94590229
ZNF746,0.134,0.14,0.800271555,768.2181,756.6515124
ZNF8,-0.1302,0.14,0.800271555,116.9268,123.7327686
ZNF98,-0.1552,0.14,0.800271555,1.2002,5.984849673
ABCC4,-0.127,0.15,0.807028754,381.0064,412.508235
ACAN,0.1299,0.15,0.807028754,55.6439,214.174266
AIMP1,-0.1361,0.15,0.807028754,1036.7434,1074.404832
AK2,-0.1195,0.15,0.807028754,2154.4924,2408.376841
ALKBH3,0.1272,0.15,0.807028754,306.3932,322.1046725
JAML,0.1547,0.15,0.807028754,35.308,61.04512909
ANK3,0.1283,0.15,0.807028754,229.2739,288.1377837
AP1S2,0.1413,0.15,0.807028754,1646.8638,1868.654083
APOD,0.1545,0.15,0.807028754,2219.0757,4428.974914
ARHGAP42,-0.1221,0.15,0.807028754,229.6493,240.9081137
ARSE,0.1481,0.15,0.807028754,95.3895,110.251981
ATL2,-0.14,0.15,0.807028754,510.158,550.4978745
ATP6V1C2,0.142,0.15,0.807028754,90.72,99.44266111
BBS7,0.1447,0.15,0.807028754,294.908,303.2420634
BCAP31,0.1327,0.15,0.807028754,4599.3108,4834.904774
BCL2L12,-0.1361,0.15,0.807028754,162.8616,177.9377199
BEX2,0.147,0.15,0.807028754,630.7858,706.9887428
MPC1,-0.1224,0.15,0.807028754,1180.5158,1354.471393
C11orf87,0.1269,0.15,0.807028754,52.0036,93.2210219
URI1,-0.126,0.15,0.807028754,1231.0062,1271.411523
C1orf162,0.1273,0.15,0.807028754,309.5238,373.9095415
COA7,-0.1263,0.15,0.807028754,225.767,229.0859775
SIMC1,0.12363,0.15,0.807028754,169.8838,196.9696781
MLIP,-0.1425,0.15,0.807028754,37.751,85.64536928
C7orf43,0.1361,0.15,0.807028754,501.0287,539.1497624
LINC00476,-0.1246,0.15,0.807028754,192.1,210.0836193
CARNS1,0.1281,0.15,0.807028754,180.0916,442.8841993
CCDC130,-0.1267,0.15,0.807028754,683.2208,721.4498147
SPICE1,-0.1407,0.15,0.807028754,210.7037,227.5064794
CD22,0.1363,0.15,0.807028754,27.9688,48.28853529
CD44,0.1314,0.15,0.807028754,11186.7354,13510.23942
CDH19,0.1225,0.15,0.807028754,13.7745,46.15836863
CDIPT,0.129,0.15,0.807028754,1756.9322,1759.209584
CIAPIN1,-0.1296,0.15,0.807028754,1254.1667,1338.658717
CLDN9,0.1295,0.15,0.807028754,6.5913,10.85455948
CLK2,-0.13,0.15,0.807028754,573.929,614.1159853
CLSTN2,-0.1324,0.15,0.807028754,129.7108,196.2991595
CLUAP1,0.1379,0.15,0.807028754,505.1777,527.5235275
CNP,0.1296,0.15,0.807028754,6413.9668,8201.076456
CORO2A,0.1267,0.15,0.807028754,30.3189,45.7063085
CPEB1,0.1465,0.15,0.807028754,81.4118,94.54215229
CPS1,-0.1312,0.15,0.807028754,188.2181,270.3200778
CWC22,-0.1364,0.15,0.807028754,422.4622,439.3884794
CXCL1,0.1383,0.15,0.807028754,22.9167,63.82683464
DAND5,-0.1249,0.15,0.807028754,11.3789,15.80592909
DCAF16,-0.1259,0.15,0.807028754,610.4452,656.7249859
DCAF8,-0.1443,0.15,0.807028754,2318.5955,2328.885311
DDX31,-0.1266,0.15,0.807028754,281.1854,280.8102369
DUSP3,0.1222,0.15,0.807028754,1509.2369,1567.726953
EEF1E1,0.1468,0.15,0.807028754,301.4139,307.3226944
ELAC1,0.1347,0.15,0.807028754,216.7925,228.200183
ERF,-0.1242,0.15,0.807028754,1753.59,1982.462124
EXOSC7,-0.1332,0.15,0.807028754,467.0886,499.7566255
EXOSC8,-0.126,0.15,0.807028754,454.6661,502.0223575
SAXO2,-0.1259,0.15,0.807028754,53.6091,66.49040523
FAM155B,0.1492,0.15,0.807028754,56.2959,80.40923987
EVA1A,0.1456,0.15,0.807028754,28.7278,62.18545196
TMEM236,0.1341,0.15,0.807028754,5.2948,10.45511569
FAM65B,0.1348,0.15,0.807028754,172.6133,217.7837709
FAM98B,-0.1398,0.15,0.807028754,292.8101,290.2373869
FASTKD1,-0.1277,0.15,0.807028754,327.5727,337.8752108
FEZF1,0.1471,0.15,0.807028754,2.3956,25.42213007
FHAD1,0.1252,0.15,0.807028754,20.4327,38.13137288
FMNL3,-0.1468,0.15,0.807028754,1495.7371,1593.592697
FOXJ3,-0.1242,0.15,0.807028754,1337.9901,1391.466908
GABPA,-0.14,0.15,0.807028754,706.4544,717.8364324
GATS,0.1463,0.15,0.807028754,1209.311,1357.116302
GFRA1,0.1318,0.15,0.807028754,61.2761,213.288319
GLO1,-0.1371,0.15,0.807028754,3149.4985,3454.903913
GPR171,0.1403,0.15,0.807028754,4.0188,6.040884641
GRIN2B,0.1414,0.15,0.807028754,1.7153,4.275086275
HK3,0.1341,0.15,0.807028754,101.1799,152.2027601
HMGA2,0.13665,0.15,0.807028754,15.7143,194.4055255
HOXD13,0.1433,0.15,0.807028754,68.2674,149.8699758
HOXD4,0.1289,0.15,0.807028754,24.5533,35.82321471
HRH3,0.1335,0.15,0.807028754,9.9774,30.41733758
ICAM5,0.1398,0.15,0.807028754,59.8834,98.62057647
INF2,0.1343,0.15,0.807028754,1217.7454,1265.666989
INSM2,0.1337,0.15,0.807028754,2.9752,9.412364706
INTS6,-0.1296,0.15,0.807028754,401.0212,416.8563121
IPPK,0.1294,0.15,0.807028754,326.113,335.5317118
FAM234A,0.1397,0.15,0.807028754,2200.9398,2197.373431
ITPRIPL1,-0.1291,0.15,0.807028754,144.1327,145.593002
JRKL,-0.1308,0.15,0.807028754,209.1657,212.4411539
KIF26B,0.1323,0.15,0.807028754,131.64,182.3664232
LDB2,0.1423,0.15,0.807028754,260.8451,334.8569183
LGALS9,0.131,0.15,0.807028754,1196.4361,1425.554616
LGI1,0.146,0.15,0.807028754,180.1603,260.6058889
LINGO4,0.1379,0.15,0.807028754,1.8832,3.624554248
LIPT1,-0.1373,0.15,0.807028754,148.2308,160.7867137
LMLN,0.1341,0.15,0.807028754,278.2194,284.0961637
LINC00889,0.1416,0.15,0.807028754,3.2154,6.518097386
LINC00928,-0.1425,0.15,0.807028754,19.8475,32.25705131
LOC284578,0.1368,0.15,0.807028754,4.7516,8.023726471
ZBED3-AS1,-0.1404,0.15,0.807028754,44.8225,52.48373007
LOC728743,0.1377,0.15,0.807028754,198.4751,217.4215389
LRGUK,0.131,0.15,0.807028754,16.1943,24.24731471
LRRC55,-0.1374,0.15,0.807028754,659.823,1035.797894
MAGED2,-0.1351,0.15,0.807028754,4729.1982,5306.005966
MAP3K1,-0.125,0.15,0.807028754,534.9804,661.2367225
MAPK6,-0.1441,0.15,0.807028754,1384.089,1382.467226
MFSD9,0.1183,0.15,0.807028754,76.3116,79.88495686
MKRN2,-0.1374,0.15,0.807028754,854.9932,866.4921516
MNDA,0.1325,0.15,0.807028754,272.4482,326.0271114
MRPS10,-0.1467,0.15,0.807028754,839.3047,891.840848
MRPS26,-0.1329,0.15,0.807028754,1094.4639,1248.619181
MRS2,-0.1233,0.15,0.807028754,694.9234,740.7092507
MTRF1,-0.1203,0.15,0.807028754,127.5484,139.7695732
N4BP2,-0.1349,0.15,0.807028754,90.8555,94.72163856
NFAM1,0.1344,0.15,0.807028754,281.5631,336.0241245
NOP56,-0.1267,0.15,0.807028754,2536.3589,2734.886087
NPB,0.1389,0.15,0.807028754,15.6647,24.10085294
OPRL1,0.1444,0.15,0.807028754,173.3699,190.7766163
PAN3,-0.1188,0.15,0.807028754,507.2647,541.0096464
PARD3,-0.1434,0.15,0.807028754,350.8937,383.0736892
PFKP,0.1435,0.15,0.807028754,1683.7647,1864.084448
PORCN,0.1417,0.15,0.807028754,323.359,332.1600912
PPFIA4,0.1445,0.15,0.807028754,316.0493,387.1540909
PPP1R15A,0.138,0.15,0.807028754,1065.3295,1241.382109
PRDM5,-0.1301,0.15,0.807028754,105.8646,112.9429699
PRIM2,-0.136,0.15,0.807028754,166.5099,169.3764033
PSPH,-0.1312,0.15,0.807028754,867.1036,1922.366773
PTPN12,0.1517,0.15,0.807028754,2017.7329,2159.302988
PTPN2,0.123,0.15,0.807028754,352.8237,386.8568846
PXDN,0.145,0.15,0.807028754,1413.8121,1946.74602
RAB35,0.141,0.15,0.807028754,1209.1895,1175.744992
RAI14,0.1302,0.15,0.807028754,653.9957,731.1103814
RAI1,0.13534,0.15,0.807028754,654.0972,681.4763078
RBM47,0.1279,0.15,0.807028754,279.2135,314.3526242
RGS7BP,0.1369,0.15,0.807028754,38.9908,57.14780131
RHOF,0.1498,0.15,0.807028754,32.9065,41.59671144
RIMKLA,0.1434,0.15,0.807028754,233.241,243.5515363
RPE65,-0.143,0.15,0.807028754,184.7127,298.6213725
RPS11,-0.1243,0.15,0.807028754,15316.6581,18589.11526
RRP7BP,-0.1268,0.15,0.807028754,97.4936,120.2582899
RTN4RL2,0.1386,0.15,0.807028754,55.4104,86.6704183
SBDS,0.1272,0.15,0.807028754,3569.7885,3671.133433
SEMA6A,-0.1337,0.15,0.807028754,2315.3153,2391.901696
SEPN1,0.1264,0.15,0.807028754,6399.6726,6884.882192
SGMS2,0.1483,0.15,0.807028754,89.5594,104.0357605
SH2D3C,0.1398,0.15,0.807028754,297.9452,322.2605111
SHANK2,0.1344,0.15,0.807028754,64.7235,121.6694578
SLC22A18AS,0.1455,0.15,0.807028754,6.1875,9.335024183
SLC29A4,0.1459,0.15,0.807028754,839.174,1054.827599
SLC4A5,-0.1343,0.15,0.807028754,98.5245,123.0107016
SNAP23,-0.1451,0.15,0.807028754,949.3919,1008.772252
SOX6,-0.1323,0.15,0.807028754,748.5786,1013.250608
SPTBN5,0.1326,0.15,0.807028754,22.8058,34.64133497
STARD4,-0.1446,0.15,0.807028754,129.6071,142.9047676
STK32B,0.1219,0.15,0.807028754,338.1849,432.7576392
STS,0.12903,0.15,0.807028754,361.9097,400.0747549
STXBP1,0.1299,0.15,0.807028754,1278.6545,1662.040704
SUPT5H,-0.1215,0.15,0.807028754,3187.2073,3244.387228
SYT7,0.1325,0.15,0.807028754,253.4014,405.6204879
TCIRG1,0.1479,0.15,0.807028754,576.9478,680.6754477
TFE3,0.1275,0.15,0.807028754,2273.0061,2289.807909
TMEM143,0.1373,0.15,0.807028754,112.1575,117.2757657
TMEM215,0.1374,0.15,0.807028754,1.5129,5.503788235
TMEM229A,0.1301,0.15,0.807028754,32.2509,92.41464477
TMSB10,0.1318,0.15,0.807028754,15575.9121,18347.45073
TNFSF12,0.1303,0.15,0.807028754,819.258,847.3336562
TNFSF18,-0.1466,0.15,0.807028754,3.9331,6.317558824
TOMM7,0.1269,0.15,0.807028754,2815.7149,3048.449197
TPRG1L,0.1392,0.15,0.807028754,775.2737,884.2090199
TSSC4,0.1339,0.15,0.807028754,656.2406,680.7947542
TSTD2,-0.1378,0.15,0.807028754,683.1322,688.7148428
TTC26,0.1396,0.15,0.807028754,148.4848,171.9880719
USP1,-0.1373,0.15,0.807028754,1237.9986,1318.150681
VPS36,-0.1307,0.15,0.807028754,648.2627,658.6423088
WNK4,0.1278,0.15,0.807028754,21.7281,59.25471536
WNT16,0.1372,0.15,0.807028754,9.5847,44.55671569
XPOT,-0.1372,0.15,0.807028754,1752.9748,1846.380898
ZCCHC4,-0.1315,0.15,0.807028754,189.7386,190.6703938
ZDHHC14,0.1277,0.15,0.807028754,538.2381,591.6439539
ZNF483,-0.1352,0.15,0.807028754,29.2514,33.82147941
ZNF491,-0.126,0.15,0.807028754,74.6988,83.94886209
ZNF526,-0.1273,0.15,0.807028754,193.9058,204.3506422
ZNF565,-0.1315,0.15,0.807028754,88.3534,92.83983235
ZNF583,-0.1318,0.15,0.807028754,162.8809,165.7385621
ZNF667,-0.1271,0.15,0.807028754,168.6661,183.2911147
ZNF669,-0.1374,0.15,0.807028754,102.0761,115.1557101
ZNF83,-0.1263,0.15,0.807028754,932.7694,1025.155463
ZNF846,-0.13137,0.15,0.807028754,85.7747,93.75000458
ZNF91,-0.1275,0.15,0.807028754,283.3333,296.3167562
ADAM22,-0.1292,0.16,0.810833584,204.6644,234.6405791
ADAMTS2,0.1358,0.16,0.810833584,36.9012,69.41593235
AKNAD1,-0.13065,0.16,0.810833584,20.7952,40.67622516
ALDH1A2,-0.13148,0.16,0.810833584,34.3691,68.09511209
ALKBH1,-0.1262,0.16,0.810833584,256.3776,258.660449
ALPK2,0.1364,0.16,0.810833584,22.3304,94.59610588
ANKRD7,0.1291,0.16,0.810833584,5.1765,8.475514052
ZFAND4,0.1218,0.16,0.810833584,73.6761,75.95663758
ANXA2P2,0.1392,0.16,0.810833584,2564.7368,3054.064739
APOA1,0.1449,0.16,0.810833584,3.7509,5.741814379
APOBEC3C,0.1299,0.16,0.810833584,232.1737,267.9401529
ARHGEF7,-0.1217,0.16,0.810833584,2027.7778,2240.084546
ARMC3,0.1366,0.16,0.810833584,1.5129,42.96807157
ARSJ,0.1414,0.16,0.810833584,210.8027,329.2754301
ATM,-0.1264,0.16,0.810833584,858.7481,873.3910909
ATP2C2,0.132,0.16,0.810833584,9.4044,18.82285392
BAIAP2,0.1312,0.16,0.810833584,1131.6554,1150.591897
BPNT1,-0.126381,0.16,0.810833584,624.7887,685.6220474
BRI3,0.1337,0.16,0.810833584,1806.2949,1909.145745
BST1,0.1312,0.16,0.810833584,80.667,102.4072007
FAM208B,-0.1214,0.16,0.810833584,682.9378,747.9678415
VPS51,-0.13,0.16,0.810833584,1944.0443,1963.46656
AAMDC,0.1259,0.16,0.810833584,208.7079,222.3147781
TMEM52B,0.1338,0.16,0.810833584,59.2363,68.58662647
RMI2,0.1346,0.16,0.810833584,144.9976,181.7184922
PRR29,0.126,0.16,0.810833584,56.0563,127.9039379
C1QA,0.12,0.16,0.810833584,4516.6197,6108.411782
C1orf27,-0.128,0.16,0.810833584,544.0558,560.9939565
RSG1,0.1304,0.16,0.810833584,55.6541,59.86361013
C3orf52,0.1243,0.16,0.810833584,9.5716,15.54501144
SPTSSB,-0.1354,0.16,0.810833584,70.8447,97.99606242
ABHD18,-0.1294,0.16,0.810833584,90.1024,95.08251209
SLC18B1,-0.1368,0.16,0.810833584,837.3837,912.8582
ERCC6L2,-0.122,0.16,0.810833584,79.3495,83.58255261
CACNA1D,0.1394,0.16,0.810833584,74.912,97.88785556
CACNG1,0.1348,0.16,0.810833584,11.8807,21.82779739
SGF29,-0.1316,0.16,0.810833584,239.3095,251.1610484
CCDC103,0.1369,0.16,0.810833584,812.2545,1200.22485
EFCC1,-0.1543,0.16,0.810833584,17.9558,32.0447634
CCR1,0.1362,0.16,0.810833584,387.3792,452.962533
CCR3,0.1405,0.16,0.810833584,1.4933,1.926477778
CDC40,-0.1387,0.16,0.810833584,484.9341,480.5589572
CDH23,0.1268,0.16,0.810833584,58.5778,103.4723977
CHGA,0.1451,0.16,0.810833584,90.1639,259.8250363
CHID1,0.1265,0.16,0.810833584,1789.6484,1880.61464
CIDEB,0.1331,0.16,0.810833584,244.1667,249.6536605
CLMN,0.1291,0.16,0.810833584,244.9739,277.6560761
COL10A1,0.143,0.16,0.810833584,2.2925,19.75030817
COX4I2,-0.1381,0.16,0.810833584,24.9781,30.85005882
CRCP,0.1338,0.16,0.810833584,1427.695,1442.44553
CXCL16,0.1202,0.16,0.810833584,1955.493,1962.633241
ACKR3,-0.1338,0.16,0.810833584,1194.9787,1275.989479
CYP4F12,-0.1407,0.16,0.810833584,3.9757,21.16660294
DENND5A,0.1351,0.16,0.810833584,3980.6587,4127.076721
DHX35,-0.128,0.16,0.810833584,360.9613,389.2846144
DMRT2,0.1316,0.16,0.810833584,12.0586,41.6871415
DNAJB7,0.1376,0.16,0.810833584,1.7996,2.25775098
DOCK5,0.1312,0.16,0.810833584,56.2928,99.18183529
DXO,-0.129,0.16,0.810833584,508.684,531.4297487
DTNB,0.1312,0.16,0.810833584,280.9524,294.5927843
DBIL5P,0.1292,0.16,0.810833584,14.8716,16.88259673
EMILIN1,0.1353,0.16,0.810833584,1258.7031,1820.923619
ERCC3,-0.128,0.16,0.810833584,1248.2741,1273.559158
EXOSC2,-0.1307,0.16,0.810833584,596.1152,617.0835082
FAM13B,0.1301,0.16,0.810833584,791.7634,811.0782144
FAM171A2,0.1324,0.16,0.810833584,227.8943,275.1808232
FCGR2A,0.1278,0.16,0.810833584,1459.6088,1876.685504
FCGR2C,0.1411,0.16,0.810833584,56.968,92.25782255
FDPSP2,0.1332,0.16,0.810833584,2.1911,2.506313072
FDXACB1,-0.137,0.16,0.810833584,138.6408,147.5737634
FER1L4,0.1503,0.16,0.810833584,27.5229,57.6348683
FGD3,0.1259,0.16,0.810833584,162.9105,182.394951
FLNB,0.1253,0.16,0.810833584,934.3413,1151.212117
GAP43,0.1475,0.16,0.810833584,8303.8502,8978.03148
GATA3,0.1438,0.16,0.810833584,8.5046,24.29059771
GBAS,-0.1116,0.16,0.810833584,3148.289,8312.930817
GLRB,0.136,0.16,0.810833584,415.417,445.4772641
GNB3,-0.1242,0.16,0.810833584,63.5671,81.28861471
HCN2,0.124,0.16,0.810833584,408.399,541.4150033
HIST1H4C,-0.1408,0.16,0.810833584,1.8951,8.744757843
HNRNPA3,-0.1284,0.16,0.810833584,4057.9338,4116.733206
HSPA8,-0.125,0.16,0.810833584,27574.4591,28550.43767
IL10,0.1321,0.16,0.810833584,17.4881,33.14480556
IL1B,0.1422,0.16,0.810833584,173.4398,302.6572559
ITGAX,0.1327,0.16,0.810833584,488.0208,628.5994709
KCTD15,-0.1264,0.16,0.810833584,974.4919,1057.706598
KEL,0.1375,0.16,0.810833584,3.723,5.917311765
KIAA1586,-0.1309,0.16,0.810833584,209.2921,222.3423863
KLC1,0.143,0.16,0.810833584,2500.1931,2601.227759
KLHL17,-0.119,0.16,0.810833584,141.433,156.558118
KLHL20,-0.129,0.16,0.810833584,478.6077,482.5185373
P3H1,-0.1389,0.16,0.810833584,675.3894,806.8559889
LGI4,0.1334,0.16,0.810833584,220.2412,391.3579111
LILRA2,0.1229,0.16,0.810833584,139.8677,165.751815
SLCO4A1-AS1,0.1393,0.16,0.810833584,7.2886,18.68063333
LINC00294,0.1271,0.16,0.810833584,317.2044,328.3231526
LINC00998,0.1274,0.16,0.810833584,1050.8096,1153.87178
LRRC27,-0.1393,0.16,0.810833584,214.7493,233.8567523
LSM14A,-0.1303,0.16,0.810833584,2290.72715,2418.908461
MAPK4,0.1412,0.16,0.810833584,1746.2176,2389.160379
MED23,-0.1217,0.16,0.810833584,468.3797,485.4312588
METTL2B,-0.132,0.16,0.810833584,478.2425,503.3885248
MRPL36,0.1335,0.16,0.810833584,560.0129,601.0346415
MYO1D,0.128,0.16,0.810833584,187.7169,257.7696173
NAA10,-0.1261,0.16,0.810833584,1151.007,1266.328009
NFRKB,-0.1217,0.16,0.810833584,589.6498,606.4199814
NPEPPS,0.1254,0.16,0.810833584,2401.3026,2451.53677
NPRL2,-0.138,0.16,0.810833584,463.4896,513.1153931
NPTN,0.1258,0.16,0.810833584,1693.863,1788.780478
NRIP1,0.1404,0.16,0.810833584,929.6903,992.6401598
NUP54,-0.138,0.16,0.810833584,741.7864,762.8839033
OGDHL,0.118,0.16,0.810833584,79.8722,154.4742624
P2RY14,-0.136,0.16,0.810833584,34.9843,42.21858922
PADI2,0.1179,0.16,0.810833584,2254.2173,2862.837943
PAX8,0.1272,0.16,0.810833584,32.8576,54.95460752
PEBP1,0.1326,0.16,0.810833584,8557.7417,8869.470055
PIR,0.1279,0.16,0.810833584,244.6335,303.7078458
PISD,0.1408,0.16,0.810833584,642.6735,653.3537346
PITPNA,0.1208,0.16,0.810833584,2850,2889.919886
PMAIP1,0.1284,0.16,0.810833584,60.7522,112.9137516
PPIL3,-0.127,0.16,0.810833584,455.5818,491.417918
PPIP5K2,-0.1253,0.16,0.810833584,550.0787,586.3647284
PRPS1,-0.1432,0.16,0.810833584,1642.5993,1760.714379
PRR5,0.142,0.16,0.810833584,201.581,234.8337993
PTDSS1,0.1418,0.16,0.810833584,1955.4289,1984.625425
PTER,0.143,0.16,0.810833584,60.8604,98.87857451
RAC2,0.1363,0.16,0.810833584,301.9976,362.0214464
RASAL1,0.1341,0.16,0.810833584,14.9584,47.47508007
RASSF1,0.1419,0.16,0.810833584,628.5946,637.7850376
RDX,-0.1289,0.16,0.810833584,4831.8611,5129.910026
RGN,0.1262,0.16,0.810833584,340.918,388.1742788
RGPD1,-0.1207,0.16,0.810833584,98.4119,130.9112477
RIF1,-0.1309,0.16,0.810833584,371.2881,396.1491801
RIMS3,0.1312,0.16,0.810833584,344.7761,522.6131578
RNASET2,0.1204,0.16,0.810833584,1858.7473,1944.348582
ROR2,0.1332,0.16,0.810833584,27.2147,65.31524346
RPA3,0.1351,0.16,0.810833584,408.3104,472.6558899
RPGRIP1L,-0.1331,0.16,0.810833584,224.5509,239.8845765
RPS12,-0.1351,0.16,0.810833584,4166.4387,4892.491423
RPS6,-0.1313,0.16,0.810833584,14301.4937,18087.47876
RRP9,-0.1293,0.16,0.810833584,520.622,554.4727363
SNX29P2,0.124,0.16,0.810833584,8.0429,9.933510458
S100A12,0.1289,0.16,0.810833584,4.4668,11.80647778
SATB1,0.1223,0.16,0.810833584,621.8468,715.6571
SBDSP1,0.1246,0.16,0.810833584,978.3693,1012.042914
SCAMP5,0.1357,0.16,0.810833584,1905.8791,2147.551689
SEPSECS,-0.1289,0.16,0.810833584,286.2524,295.0754863
SH3BGRL3,0.133,0.16,0.810833584,3356.0517,3826.184843
SIGLEC7,0.1301,0.16,0.810833584,98.4503,119.2872889
SIRT3,0.1353,0.16,0.810833584,835.2395,842.6695353
SLC30A6,-0.129,0.16,0.810833584,212.8089,216.3106327
SLCO3A1,0.1212,0.16,0.810833584,391.5742,520.4027333
SLITRK5,0.1303,0.16,0.810833584,105.1187,134.9470693
SORCS3,0.1356,0.16,0.810833584,162.415,205.3615023
SPARC,0.1416,0.16,0.810833584,72866.053,79955.86677
STEAP1,0.1345,0.16,0.810833584,77.4166,128.9044781
STMN4,0.1328,0.16,0.810833584,630.2887,883.975319
STRADB,-0.1368,0.16,0.810833584,692.1093,725.6038373
TAF6L,-0.133,0.16,0.810833584,378.005,389.7038565
TAPBP,0.1306,0.16,0.810833584,2961.4458,3182.185877
TATDN2,0.133,0.16,0.810833584,1552.2033,1547.278322
THEM5,0.1278,0.16,0.810833584,1.4503,1.928998693
TIAL1,-0.1364,0.16,0.810833584,1029.12575,1141.153981
TMEM127,0.1236,0.16,0.810833584,2104.8851,2093.457671
TMEM132A,0.1297,0.16,0.810833584,3553.8688,3831.981016
IGFLR1,0.1208,0.16,0.810833584,253.7122,286.2736239
TMEM159,0.1321,0.16,0.810833584,256.8807,281.9928863
TNFSF4,0.1395,0.16,0.810833584,58.011,95.13273268
TRAPPC1,0.1284,0.16,0.810833584,1573.3611,1650.888863
TRERF1,-0.1234,0.16,0.810833584,215.9966,232.1604297
TRIM47,0.1295,0.16,0.810833584,2498.7342,2878.061961
TTC31,-0.127,0.16,0.810833584,373.6631,401.1374598
TUBA1C,0.1395,0.16,0.810833584,3736.9044,4536.33974
TXNRD2,-0.1276,0.16,0.810833584,410.058,410.3257974
U2AF1L4,-0.1263,0.16,0.810833584,221.0332,239.643417
UBE2E1,-0.1327,0.16,0.810833584,2752.3622,3009.2007
UBE2O,0.1231,0.16,0.810833584,948.4998,993.3094288
UCP2,0.1326,0.16,0.810833584,1148.1656,1363.706473
UPK3B,0.1472,0.16,0.810833584,1.5711,2.876032026
USHBP1,-0.1335,0.16,0.810833584,36.5566,45.53833105
WASF3,-0.1408,0.16,0.810833584,1341.7722,1508.143748
WDFY4,0.1332,0.16,0.810833584,169.8895,214.5561876
WDR26,-0.1314,0.16,0.810833584,2291.1011,2325.800142
DPH7,-0.1212,0.16,0.810833584,564.5712,596.8361072
